2010-06-12 18:05:39 Notice: Notice (8): Undefined index: spam in [/home/dotti/develop/php/cake13/spamfilter/models/comment.php, line 19]
2010-06-26 18:36:55 Notice: Notice (8): Undefined index: ext in [/home/dotti/develop/php/cake13/spamfilter/app_controller.php, line 40]
2010-06-26 18:36:55 Notice: Notice (8): Undefined property: View::$Html in [/home/dotti/develop/php/cake13/spamfilter/views/layouts/default.ctp, line 23]
2010-06-26 18:43:03 Notice: Notice (8): Undefined index: ext in [/home/dotti/develop/php/cake13/spamfilter/app_controller.php, line 40]
2010-06-26 18:58:05 Notice: Notice (8): Undefined index: ext in [/home/dotti/develop/php/cake13/spamfilter/app_controller.php, line 40]
2010-06-26 18:58:36 Notice: Notice (8): Undefined index: ext in [/home/dotti/develop/php/cake13/spamfilter/app_controller.php, line 40]
2010-06-26 18:58:57 Notice: Notice (8): Undefined property: ClassifiersController::$param in [/home/dotti/develop/php/cake13/spamfilter/app_controller.php, line 40]
2010-06-26 18:58:57 Notice: Notice (8): Undefined property: CakeErrorController::$param in [/home/dotti/develop/php/cake13/spamfilter/app_controller.php, line 40]
2010-06-26 18:59:24 Notice: Notice (8): Undefined property: ClassifiersController::$param in [/home/dotti/develop/php/cake13/spamfilter/app_controller.php, line 40]
2010-06-26 18:59:24 Notice: Notice (8): Undefined property: CakeErrorController::$param in [/home/dotti/develop/php/cake13/spamfilter/app_controller.php, line 40]
2010-06-26 23:12:45 Notice: Notice (8): Undefined property: ClassifiersController::$presetVars in [/home/dotti/develop/php/cake13/spamfilter/controllers/components/prg.php, line 74]
2010-06-26 23:12:45 Notice: Notice (8): Undefined variable: response in [/home/dotti/develop/php/cake13/spamfilter/views/classifiers/json/default.ctp, line 2]
2010-06-26 23:15:18 Notice: Notice (8): Undefined variable: response in [/home/dotti/develop/php/cake13/spamfilter/views/classifiers/json/default.ctp, line 2]
2010-06-27 08:43:29 Notice: Notice (8): Undefined variable: response in [/home/dotti/develop/php/cake13/spamfilter/views/classifiers/json/default.ctp, line 2]
2010-06-27 08:44:56 Notice: Notice (8): Undefined property: ClassifiersController::$Prg in [/home/dotti/develop/php/cake13/spamfilter/controllers/classifiers_controller.php, line 27]
2010-06-27 12:26:41 Notice: Notice (8): Undefined property: NaiveBayesComponent::$tokenSeparator in [/home/dotti/develop/php/cake13/spamfilter/controllers/components/naive_bayes.php, line 64]
2010-06-27 12:26:58 Notice: Notice (8): Undefined property: NaiveBayesComponent::$tokenSeparator in [/home/dotti/develop/php/cake13/spamfilter/controllers/components/naive_bayes.php, line 62]
2010-06-27 13:10:58 Notice: Notice (8): Undefined property: CommentsController::$url in [/home/dotti/develop/php/cake13/spamfilter/controllers/comments_controller.php, line 91]
2010-06-27 13:10:58 Notice: Notice (8): Undefined index: message in [/home/dotti/develop/php/cake13/spamfilter/controllers/comments_controller.php, line 93]
2010-06-27 13:11:18 Notice: Notice (8): Undefined property: CommentsController::$url in [/home/dotti/develop/php/cake13/spamfilter/controllers/comments_controller.php, line 91]
2010-06-27 13:11:18 Notice: Notice (8): Undefined index: message in [/home/dotti/develop/php/cake13/spamfilter/controllers/comments_controller.php, line 93]
2010-06-27 13:11:34 Notice: Notice (8): Undefined property: CommentsController::$url in [/home/dotti/develop/php/cake13/spamfilter/controllers/comments_controller.php, line 91]
2010-06-27 16:40:57 Notice: Notice (8): Undefined property: ClassifiersController::$param in [/home/dotti/develop/php/cake13/spamfilter/controllers/classifiers_controller.php, line 31]
